Model Type,Seed,Epoch,Loss,Train Acc,Val Acc,Test Acc
convnext_base,2,1,1.1164475480715434,0.38666666666666666,0.3,0.47333333333333333
convnext_base,2,2,1.096898466348648,0.48,0.44666666666666666,0.44666666666666666
convnext_base,2,3,1.0794049203395844,0.465,0.44666666666666666,0.4266666666666667
convnext_base,2,4,1.071971317132314,0.4675,0.44,0.4533333333333333
convnext_base,2,5,1.0663237671057384,0.48,0.43333333333333335,0.4533333333333333
convnext_base,2,6,1.0632827083269756,0.48333333333333334,0.44666666666666666,0.44666666666666666
convnext_base,2,7,1.0543834964434307,0.48833333333333334,0.44,0.44
convnext_base,2,8,1.0501385629177094,0.495,0.43333333333333335,0.44
convnext_base,2,9,1.053472210963567,0.49166666666666664,0.46,0.44
convnext_base,2,10,1.0467598338921864,0.49416666666666664,0.46,0.4666666666666667
convnext_base,2,11,1.0449331204096477,0.5125,0.4533333333333333,0.44
convnext_base,2,12,1.0325881441434224,0.5108333333333334,0.4533333333333333,0.4533333333333333
convnext_base,2,13,1.0272591908772786,0.5033333333333333,0.4666666666666667,0.47333333333333333
convnext_base,2,14,1.0290738344192505,0.5175,0.46,0.44
convnext_base,2,15,1.0176545133193333,0.5166666666666667,0.4666666666666667,0.4666666666666667
convnext_base,2,16,1.011297067006429,0.52,0.46,0.48
convnext_base,2,17,1.010376403729121,0.5225,0.46,0.47333333333333333
convnext_base,2,18,1.009057993690173,0.5225,0.46,0.4533333333333333
convnext_base,2,19,1.0076845586299896,0.53,0.46,0.47333333333333333
convnext_base,2,20,0.9979653706153234,0.5325,0.46,0.4666666666666667
convnext_base,2,21,1.0049483627080917,0.535,0.46,0.4666666666666667
convnext_base,2,22,0.9975431909163793,0.54,0.46,0.4666666666666667
convnext_base,2,23,0.9809635132551193,0.5516666666666666,0.4533333333333333,0.47333333333333333
convnext_base,2,24,0.9908737391233444,0.5533333333333333,0.4533333333333333,0.4666666666666667
convnext_base,2,25,0.979950154821078,0.5583333333333333,0.46,0.44
convnext_base,2,26,0.9792087773482004,0.5716666666666667,0.46,0.4666666666666667
convnext_base,2,27,0.9693800459305445,0.5741666666666667,0.44,0.47333333333333333
convnext_base,2,28,0.9696080386638641,0.5691666666666667,0.4533333333333333,0.4666666666666667
